排名,大学名称,大学英文名称,所在城市,专业中文名称,专业英文名称,所属院系,所属院系（英文）,所属院系网址,学位,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",社会政策和数据分析,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,School of Social Policy & Practice,https://sp2.upenn.edu,MSSP + DA,,,$65 ,秋季,12 月 1 日；1月15日,要求,100,7.5,不要求,不要求,, writing sample；Personal Statement；APPLICATION ESSAY ；Resume/CV；Transcripts ；Letters of Recommendation,https://sp3.upenn.edu/how-to-apply-mssp/,https://sp2.upenn.edu/program/master-of-science-in-social-policy-data-analytics-for-social-policy-certificate/
9,布朗大学," 
Brown University","Providence, RI",社会数据分析硕士（Sc.M.）,Social Data Analytics,研究生院,Department of Sociology,https://www.brown.edu/academics/sociology/,MS,市场研究，项目评估，政策工作，社会科学的高级研究和财务分析,,$100 ,秋季,2 月 1 日,要求,105,8,要求,不接受,,Writing Sample;Personal Statement ;Transcripts;Letters of Recommendation ;Resume,https://graduateprograms.brown.edu/graduate-program/social-data-analytics-scm,https://www.brown.edu/academics/sociology/programs/masters-scm-program-social-data-analytics
12,哥伦比亚大学,Columbia University,"New York, NY",数据、学习和社会理学硕士 ,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,Teachers College,https://www.tc.columbia.edu,M.A.,1） 向学生介绍统计和数据 科学基础知识；2） 对各种形式的学习研究有扎实的理解；3） 让学生考虑越来越多地使用学习数据的可能性和问题,,$75 ,秋季,1 月15 日；4 月 1 日,要求,100,7,不要求,不接受,,Statement of Purpose；Resume； Letters of Recommendation；Transcripts,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/
12,哥伦比亚大学,Columbia University,"New York, NY",社会科学中的量化方法项目,Quantitative Methods in the Social Sciences,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu,MA,侧重于定量研究技术和策略。该项目融合了经济学、历史学、政治学、心理学、社会学和统计学六门社会科学学科的观点和研究方法。 ,,$120 ,秋季,1 月 16 日,要求,100,7.5,不要求,不接受,,Statement of Purpose；Resume； Letters of Recommendation；Transcripts,https://www.gsas.columbia.edu/content/quantitative-methods-social-sciences,https://qmss.columbia.edu/
12,康奈尔大学,Cornell University,"Ithaca, NY",生物统计学和数据科学,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,Graduate School of Medical Sciences,https://gradschool.weill.cornell.edu,M.S.,,,$75 ,秋季,待定,要求,要求,要求,可选,可选,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.weill.cornell.edu/programs/population-health-sciences,https://gradschool.weill.cornell.edu/programs/population-health-sciences
12,芝加哥大学,University of Chicago,"Chicago, IL",计算分析与公共政策硕士,MS in Computational Analysis and Public Policy,物理科学部,Harris School of Public Policy,https://harris.uchicago.edu,MSCAPP,该课程建立了计算机科学、统计学和公共政策分析的基础知识。然后，学生继续学习计量经济学、机器学习、大数据方法、数据可视化和应用程序开发等高级课程，同时学习如何在政策领域应用这些技能。,2年,$50 ,秋季,10月3日；12月5日；1月16日；6月12日,要求,90,7,要求,接受,,Resume；Short Essays；Motivation Statement；Transcripts；Three (3) Letters of Recommendation；Video Statement (International Applicants Only),https://harris.uchicago.edu/admissions/requirements-and-deadlines,https://capp.uchicago.edu/
12,芝加哥大学,University of Chicago,"Chicago, IL",环境科学硕士,MS in Environmental Science,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu,M.S. ,该计划的核心课程为广泛的环境学科所需的数据科学工具奠定了基础，并通过顶点项目来磨练您的技能。该计划的选修课允许您专攻气候科学、生物地球化学、生态学和环境政策等领域。,,$90 ,秋季,2月17日,要求,90,7,不要求,不要求,,Candidate statement；Resume/CV；Three recommendation letters；Transcripts,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences/admissions/,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences//
12,芝加哥大学,University of Chicago,"Chicago, IL",定量方法与社会分析,Quantitative Methods & Social Analysis,社会科学部,Division of the Social Sciences,https://socialsciences.uchicago.edu,MAPSS,,1年,$90 ,秋季,11 月 14 日；1月7日;5月1日,要求,小分不低于25,7（小分不低于7）,要求,不接受,,Official transcripts from all undergraduate institutions；Candidate Statement (1-6 pages)；Three letters of recommendation；A writing sample is strongly recommended,https://socialsciences.uchicago.edu/admissions/how-to-apply,https://mapss.uchicago.edu/programs-of-study
12,芝加哥大学,University of Chicago,"Chicago, IL",计算社会科学,Computational Social Science,社会科学部,Division of the Social Sciences,https://socialsciences.uchicago.edu/,MACSS,,2年,$90 ,秋季,11 月 14 日；1月7日;5月1日,要求,小分不低于25,7（小分不低于7）,不要求,不接受,,Official transcripts from all undergraduate institutions；Candidate Statement (1-3 pages)；Three letters of recommendation；A writing sample is strongly recommended,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study
12,芝加哥大学,University of Chicago,"Chicago, IL",计算社会科学：经济学,Computational Social Science ：economics,社会科学部,Division of the Social Sciences,https://socialsciences.uchicago.edu,MACSS,,2年,$90 ,秋季,11 月 14 日；1月7日;5月1日,要求,小分不低于25,7（小分不低于7）,要求,不接受,学生必须事先接触过实数分析、计量经济学理论和多变量微积分、线性代数、概率和统计方面的高级课程。需要基于微积分的微观和宏观经济学的坚实基础。,Official transcripts from all undergraduate institutions；Candidate Statement (1-3 pages)；Three letters of recommendation；A writing sample is strongly recommended,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study
15,加州大学伯克利分校,"University of California, Berkeley","Berkeley, CA",计算社会科学硕士,Master of Computational Social Science (MaCSS),计算社会科学学院,Berkeley Graduate Division,https://grad.berkeley.edu,M.A.,该计划将为拥有社会科学本科学位的学生提供分析和解释社会数据（有关人，社区，组织及其互动的数据）的实践技能，为学生在商业，政府和非营利领域担任数据分析师做好准备。,,$155 ,秋季,12月2日,3,90,7,可选,不接受,鼓励具有社会科学学科本科学位（或同等学历）的申请人申请。这包括（但不限于）人类学、人口学、经济学、地理学、历史学、语言学、心理学、政治学和社会学等学科，以及跨学科的社会科学课程，如传播学、种族研究、性别和性研究、全球研究和政治经济学。,Personal Statement；Letters of Recommendation；Transcripts；Statement of personal history.；Resume or Curriculum Vitae,https://grad.berkeley.edu/program/master-of-computational-social-science-mcss/,https://macss.berkeley.edu/
17,莱斯大学,Rice University,"Houston, TX",应用化学科学：计算化学和数据科学,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,Wiess School of Natural Sciences,https://naturalsciences.rice.edu,PSM,环境可持续性，管理和政策以及定量决策,,$85 ,秋季,2月15日,3,90,7,推荐,不接受,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé；,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences
17,莱斯大学,Rice University,"Houston, TX",应用化学科学：计算化学和数据科学,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,Wiess School of Natural Sciences,https://naturalsciences.rice.edu,PSM,帮助个人增加他们对空间工程，科学，计划管理和政策的了解。该计划包括高级工程，生物和物理科学课程，并向学生介绍影响空间商业化和国家政策的经济学，公共政策和管理学科。,,$85 ,春季,10月15日,3,90,7,推荐,不接受,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé；,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences
21,密歇根大学安娜堡分校,"University of Michigan, Ann Arbor","Ann Arbor, MI",调查和数据科学,Survey and Data Science,文化、科学与艺术学院,Institute for Social Research,https://isr.umich.edu/,Ph.D,,,$90 ,秋季,1月4日,过往均分3.62,84,6.5,不要求,不接受,申请人应具备社会科学学科和统计学方面的强大分析背景,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study
21,密歇根大学安娜堡分校,"University of Michigan, Ann Arbor","Ann Arbor, MI",调查和数据科学,Survey and Data Science,文化、科学与艺术学院,Institute for Social Research,https://isr.umich.edu/,MS,,,$90 ,秋季,1月4日,过往均分3.62,84,6.5,不要求,不接受,申请人应具备社会科学学科和统计学方面的强大分析背景,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study
22,乔治敦大学,Georgetown University,"Washington, DC",公共政策 数据科学,Data Science for Public Policy,公共政策学院,McCourt School of Public Policy,https://mccourt.georgetown.edu,M.S.,数量社会科学，公共政策基础，公民数据科学，伦理与法律，以及传播,21个月,$90 ,秋季,12月1日;1月15日;3月1日,要求,100，小分不低于22,7,首选,接受,具有统计学，经济学，数学或计算机科学的一些背景，他们有兴趣开发公共部门工作的技术数据技能。需要学士学位（或国际同等学历）。此外，申请人必须完成大学水平的微积分课程，其成绩为B或更高。,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://grad.georgetown.edu/public-policy/,https://mccourt.georgetown.edu/master-of-science-in-data-science-for-public-policy/
24," 
弗吉尼亚大学",University of Virginia,"Charlottesville, VA",生物医学工程-数据科学方向,Biomedical Engineering,工程学院,University of Virginia School of Engineering and Applied Science,https://engineering.virginia.edu,ME,在生物医学产品和流程开发的背景下了解机器学习，大型数据管理和数据库系统。,15个月,85，25年免交,秋季,5月30日,要求,90-100,7,可选，但强烈建议国际申请人提供,不接受,前提课程包括入门化学和生物学，物理学（基于微积分的两个学期），通过微分方程的数学和计算机编程（Matlab，C ++或Java）。,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations,https://engineering.virginia.edu/graduate-study/future-grad-students/graduate-admission,https://engineering.virginia.edu/department/biomedical-engineering/academics/graduate-programs/me-biomedical-engineering
24,卡耐基梅隆大学,Carnegie Mellon University,"Pittsburgh, PA",公共政策与管理（数据分析）,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,Heinz College,https://www.heinz.cmu.edu,MSPPM,,2年,,秋季,12月2日；1月10日,要求,推荐100，小分不低于25，学院最低要求为口语20，其余22,推荐7.0分，小分不低于7.0，学院最低要求为6.5，口语6.0，其他6.5,要求,要求,,Statement of Purpose ； transcript；Resume/CV；Letters of recommendation,https://www.heinz.cmu.edu/admissions/public-policy-management/,https://www.heinz.cmu.edu/programs/public-policy-management-master/
24,卡耐基梅隆大学,Carnegie Mellon University,"Pittsburgh, PA",社会计算,Societal Computing,计算机科学学院,School of Computer Science,https://cs.cmu.edu,Ph.D.,,,$100 ,秋季,"11月20日,12月11日",要求,100，小分不低于25,7,可选,不接受,,Statement of Purpose ； transcript；Resume/CV；Letters of recommendation,https://sc.cs.cmu.edu/prospective-students/index.html,https://sc.cs.cmu.edu/program/index.html
24,圣路易斯华盛顿大学,Washington University in St. Louis,"St. Louis, MO",生物统计和数据科学理学硕士,Master of Science in Biostatistics and Data Science (MSBDS),医学院,School of Medicine,https://medicine.wustl.edu,MSBDS,,,$50 ,秋季,1月31日,要求,100,7,不要求,不接受,必须拥有数学、统计学、生物统计学、计算机科学、生物医学工程或其他密切相关领域的认可机构的本科或更高学位，具有良好的定量技能。,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/admissions/application-information/,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/
24,圣路易斯华盛顿大学,Washington University in St. Louis,"St. Louis, MO",生物医学信息和数据科学,Biomedical Informatics and Data Science,医学院,Roy and Diana Vagelos Division of Biology & Biomedical Sciences,https://dbbs.wustl.edu,PHD,,,$45 ,秋季,10月31日；12月1日,3.5,100,7.5,不要求,不接受,优先考虑那些不仅在生物学方面有良好培训，而且还有4到6个学期的化学（包括生物化学）以及微积分和物理学相关课程（每个1到2个学期）的申请人,Essay;Portfolio;Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://dbbs.wustl.edu/admissions/application-requirements/,https://dbbs.wustl.edu/programs/
28,加州大学圣地亚哥分校,"University of California, San Diego","La Jolla, CA",计算社会学,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,Division of Graduate Education and Postdoctoral Affairs,https://grad.ucsd.edu/,MS,,,$155 ,秋季,1月16日； 3 月5 日,3,85,7,可选,不接受,建议先修统计学和/或形式逻辑课程,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://css.ucsd.edu/masters/Prospectives.html,https://css.ucsd.edu/masters/index.html
28,加州大学圣地亚哥分校,"University of California, San Diego","La Jolla, CA",计算社会学,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,School of Social Sciences,https://socialsciences.ucsd.edu/,PhD,通过利用现代计算建模方法和大型自然数据集的技术课程和实践来补充社会科学博士课程。,,$155 ,秋季,ROLL,,,,,,通过社会学部其他博士项目申请本专业的学习,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://css.ucsd.edu/phd-specialization/admissions.html,https://css.ucsd.edu/phd-specialization/index.html
28,加州大学圣地亚哥分校,"University of California, San Diego","La Jolla, CA",计算生物学和数据科学,Computational Biology and Data Science,医学院,UC San Diego School of Medicine,https://medschool.ucsd.edu/,PHD,,,$155 ,秋季,11月下旬，具体时间待定，请见招生网址,3,85,7,不要求，但可提交,不接受,,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://biomedsci.ucsd.edu/how-to-apply/index.html,https://biomedsci.ucsd.edu/training-areas/index.html
28," 
南加州大学",University of Southern California,"Los Angeles, CA",传播数据科学,Communication Data Science,传播与新闻学院,USC Annenberg School for Communication and Journalism,https://annenberg.usc.edu,M.S.,将媒体、市场营销以及沟通的人类和社会方面的高级课程与基础计算机编程课程和数据科学、机器学习、数据可视化、人类-计算机交互、数据管理和人工智能伦理的高级课程相结合。 ,,$90 ,秋季, 12 月 15 日,3,建议114,建议8.0,25年不要求,不接受,社科或工程学的背景,"transcripts，statement of purpose,Resumé/Curriculum Vitae， recommendations, writing samples",https://annenberg.usc.edu/admissions/graduate-applicants,https://annenberg.usc.edu/academics/communication-data-science-ms
28," 
南加州大学",University of Southern California,"Los Angeles, CA",生物医学工程-生物医学数据分析,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,Viterbi School of Engineering,https://viterbi.usc.edu,M.S.,旨在向BME研究生介绍生物医学数据分析的数学和计算方法，并展示这些方法在生物医学工程高度重要的选定领域的应用,,$90 ,秋季,12月15日,3,90（with 20 or above in each section）,6.5（with 6 or above on each band）,25年不要求,不接受,拥有任何工程学或与工程学相关学科的认可机构的学士学位，包括但不限于：生物医学工程。,"transcripts，statement of purpose,Resumé/Curriculum Vitae， recommendations",https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/
28," 
南加州大学",University of Southern California,"Los Angeles, CA",传播数据科学,Master of Science in Communication Data Science,工程学院,USC Viterbi School of Engineering,https://viterbi.usc.edu,M.S.,将媒体，市场营销以及传播的人文和社会方面的高级课程与基础计算机编程课程和数据科学，机器学习，数据可视化，人机交互，数据管理和人工智能伦理的高级课程相结合。,,$90 ,秋季,12月15日,3,90（with 20 or above in each section）,6.5（with 6 or above on each band）,25年不要求,不接受,获得认可机构的学士学位。欢迎拥有传播、新闻、社会科学、工程或计算机科学学士学位的学生申请。,"transcripts，statement of purpose,Resumé/Curriculum Vitae， recommendations",https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/
28," 
南加州大学",University of Southern California,"Los Angeles, CA",环境数据科学硕士,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,USC Viterbi School of Engineering,https://viterbi.usc.edu,M.S.,"将为学生提供以下知识和技能：

在环境科学和数据科学跨学科领域的交叉领域工作
利用数据形成和构建环境管理和可持续性方面的相关问题，确定模式，并提出可操作的见解，以了解和保护地球的自然资源
了解新兴技术在数据科学中的应用及其在环境问题中的应用
高效集成数据科学方法和系统，以分析真实世界的环境数据",,$90 ,秋季,12月15日,3,90（with 20 or above in each section）,6.5（with 6 or above on each band）,25年不要求,不接受,科学、技术、工程、数学或相关社会科学本科学位，具有编程经验或扎实的数学背景。,"transcripts，statement of purpose,Resumé/Curriculum Vitae， recommendations",https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/
28," 
南加州大学",University of Southern California,"Los Angeles, CA",空间数据科学,Spatial Data Science,工程学院,Spatial Sciences Institute,https://dornsife.usc.edu/spatial-sciences-institute/,M.S.,理解并为大型基于位置的数据环境所带来的重大技术和社会挑战做出贡献，包括其架构，安全性，完整性，管理和可扩展性;了解如何获取和使用空间数据，以支持大型数据环境中的各种形式的分析，建模和地理可视化; 和了解人工智能，机器学习和数据挖掘如何用于增强典型的地理信息科学（GIS）概念和工作流程，以智能地挖掘数据，为各种社会挑战和跨越公共，私人的问题提供以企业为中心的解决方案和非营利部门。,,$90 ,春季,11月1日,3,90（with 20 or above in each section）,6.5（with 6 or above on each band）,25年不要求,不接受,认可的大学的 STEM（科学、技术、工程和数学）或相关社会科学本科学位。,"transcripts，statement of purpose,Resumé/Curriculum Vitae， recommendations",https://gis.usc.edu/admissions/#mssds,https://gis.usc.edu/programs/masters-spatial-data-science/
28," 
南加州大学",University of Southern California,"Los Angeles, CA",空间经济学和数据分析硕士,M.S. in Spatial Economics and Data Analysis,文理学院,USC Dana and David Dornsife College of Letters,https://dornsife.usc.edu,M.S.,利用基于位置的大数据和地理信息科学（GIS）的见解，识别商业机会并应对公共政策挑战，城市经济学和空间计量经济学。,,$90 ,春季,11月1日,3,90（with 20 or above in each section）,6.5（with 6 or above on each band）,不要求,不接受,鼓励学生完成：地理信息系统和/或遥感（或实践/现场经验证明）的入门课程；经济学入门课程,"transcripts，statement of purpose,Resumé/Curriculum Vitae， recommendations",https://gis.usc.edu/admissions/#msseda,https://gis.usc.edu/programs/masters-spatial-economics-and-data-analysis/
28," 
南加州大学",University of Southern California,"Los Angeles, CA",公共政策数据科学,Public Policy Data Science,公共政策学院,Sol Price School of Public Policy,https://priceschool.usc.edu,M.S.,,,$90 ,秋季,12月15日，5月1日 ,3,90（with 20 or above in each section）,6.5（with 6 or above on each band）,要求,不要求,,"transcripts，statement of purpose,Resumé/Curriculum Vitae， recommendations",https://priceschool.usc.edu/mppds/admission/,https://priceschool.usc.edu/mppds/
33,加州大学欧文分校,"University of California, Irvine","Irvine, CA",土木与环境工程,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,Samueli School of Engineering,https://engineering.uci.edu/,MENG,提供两个方向：可持续基础设施和土木与环境工程中的数据科学。,2年,$155 ,秋季,12月15；5月15日,3,80,7，小分不低于6,25年豁免,不接受,工程学、计算机科学、物理学或类似专业的学士学位,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://meng.eng.uci.edu/apply/#admission%20requirements,https://meng.eng.uci.edu/explore/#concentrations
33,佐治亚理工学院,Georgia Institute of Technology,"Atlanta, GA",城市分析理学硕士,Master of Science in Urban Analytics,设计学院,School of City & Regional Planning,https://planning.gatech.edu,MS,利用数据分析方面的专业知识，专注于城市地区面临的关键问题。,,$105 ,秋季,1月15日；2月15日；3月4日,3,100，小分不低于20,"7.5，阅读、听力和口语的最低分数为 6.5；写作的最低分数为 5.5,",要求，最低V150+Q150+4.0,不接受,跨学科项目，通过以下项目申请：城市分析（城市规划）；城市分析（计算科学与工程）；城市分析（工业与系统工程） ；  城市分析（交互式计算）,transcripts；Resumes or Curriculum Vitae ；Statement of Purpose； recommendations；,https://grad.gatech.edu/degree-programs/urban-analytics,https://planning.gatech.edu/master-science-urban-analytics
