大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,所属院系网址,招生网址,专业网址,valid_response_count,consistency_type,consistency_detail,response_1,response_1_valid,response_2,response_2_valid,response_3,response_3_valid
Stanford University,MS,Biomedical Data Science,生物科学学院,Stanford University School of Medicine,https://med.stanford.edu/,https://dbds.stanford.edu/for-prospective-students/,https://dbds.stanford.edu/biomedical-data-science-graduate-program-overview/,3,all_valid_different,"All valid responses are different, randomly selected","School of Medicine, https://med.stanford.edu/",True,"School of Medicine, https://med.stanford.edu",True,"Stanford University School of Medicine, https://med.stanford.edu/",True
University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,Stuart Weitzman School of Design,https://www.design.upenn.edu,https://www.design.upenn.edu/graduate-admissions/how-apply,https://www.design.upenn.edu/musa/about,3,all_valid_same,All 3 valid responses are identical,"Stuart Weitzman School of Design, https://www.design.upenn.edu",True,"Stuart Weitzman School of Design, https://www.design.upenn.edu",True,"Stuart Weitzman School of Design, https://www.design.upenn.edu",True
University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,School of Social Policy & Practice,https://sp2.upenn.edu,https://sp3.upenn.edu/how-to-apply-mssp/,https://sp2.upenn.edu/program/master-of-science-in-social-policy-data-analytics-for-social-policy-certificate/,3,all_valid_same,All 3 valid responses are identical,"School of Social Policy & Practice, https://sp2.upenn.edu",True,"School of Social Policy & Practice, https://sp2.upenn.edu",True,"School of Social Policy & Practice, https://sp2.upenn.edu",True
" 
Brown University",MS,Social Data Analytics,研究生院,Department of Sociology,https://www.brown.edu/academics/sociology/,https://graduateprograms.brown.edu/graduate-program/social-data-analytics-scm,https://www.brown.edu/academics/sociology/programs/masters-scm-program-social-data-analytics,3,majority_valid_same,2 valid responses are identical,"Graduate School, https://graduateschool.brown.edu",True,"Department of Sociology, https://www.brown.edu/academics/sociology/",True,"Department of Sociology, https://www.brown.edu/academics/sociology/",True
Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,Teachers College,https://www.tc.columbia.edu,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,3,majority_valid_same,2 valid responses are identical,"Teachers College, Columbia University, https://www.tc.columbia.edu",True,"Teachers College, https://www.tc.columbia.edu",True,"Teachers College, Columbia University, https://www.tc.columbia.edu",True
Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu,https://www.gsas.columbia.edu/content/quantitative-methods-social-sciences,https://qmss.columbia.edu/,3,all_valid_same,All 3 valid responses are identical,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True
Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,Graduate School of Medical Sciences,https://gradschool.weill.cornell.edu,https://gradschool.weill.cornell.edu/programs/population-health-sciences,https://gradschool.weill.cornell.edu/programs/population-health-sciences,2,all_valid_different,"All valid responses are different, randomly selected",,False,"Graduate School of Medical Sciences, https://gradschool.weill.cornell.edu/",True,"Graduate School of Medical Sciences, https://gradschool.weill.cornell.edu",True
University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,Harris School of Public Policy,https://harris.uchicago.edu,https://harris.uchicago.edu/admissions/requirements-and-deadlines,https://capp.uchicago.edu/,3,all_valid_same,All 3 valid responses are identical,"Harris School of Public Policy, https://harris.uchicago.edu",True,"Harris School of Public Policy, https://harris.uchicago.edu",True,"Harris School of Public Policy, https://harris.uchicago.edu",True
University of Chicago,M.S. ,MS in Environmental Science,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences/admissions/,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences//,3,majority_valid_same,2 valid responses are identical,"Physical Sciences Division, https://physicalsciences.uchicago.edu",True,"Physical Sciences Division, https://psd.uchicago.edu",True,"Physical Sciences Division, https://physicalsciences.uchicago.edu",True
University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,Division of the Social Sciences,https://socialsciences.uchicago.edu,https://socialsciences.uchicago.edu/admissions/how-to-apply,https://mapss.uchicago.edu/programs-of-study,3,majority_valid_same,2 valid responses are identical,"The University of Chicago Division of the Social Sciences, https://socialsciences.uchicago.edu",True,"Division of the Social Sciences, https://socialsciences.uchicago.edu",True,"Division of the Social Sciences, https://socialsciences.uchicago.edu",True
University of Chicago,MACSS,Computational Social Science,社会科学部,Division of the Social Sciences,https://socialsciences.uchicago.edu/,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,3,majority_valid_same,2 valid responses are identical,"Division of the Social Sciences, https://socialsciences.uchicago.edu/",True,"Division of the Social Sciences, https://socialsciences.uchicago.edu",True,"Division of the Social Sciences, https://socialsciences.uchicago.edu/",True
University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,Division of the Social Sciences,https://socialsciences.uchicago.edu,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,3,all_valid_same,All 3 valid responses are identical,"Division of the Social Sciences, https://socialsciences.uchicago.edu",True,"Division of the Social Sciences, https://socialsciences.uchicago.edu",True,"Division of the Social Sciences, https://socialsciences.uchicago.edu",True
"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,Berkeley Graduate Division,https://grad.berkeley.edu,https://grad.berkeley.edu/program/master-of-computational-social-science-mcss/,https://macss.berkeley.edu/,3,all_valid_same,All 3 valid responses are identical,"Berkeley Graduate Division, https://grad.berkeley.edu",True,"Berkeley Graduate Division, https://grad.berkeley.edu",True,"Berkeley Graduate Division, https://grad.berkeley.edu",True
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,Wiess School of Natural Sciences,https://naturalsciences.rice.edu,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,3,majority_valid_same,2 valid responses are identical,"Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True,"Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True,"Wiess School of Natural Sciences, https://naturalsciences.rice.edu/",True
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,Wiess School of Natural Sciences,https://naturalsciences.rice.edu,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,3,all_valid_same,All 3 valid responses are identical,"Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True,"Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True,"Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True
"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,Institute for Social Research,https://isr.umich.edu/,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,3,majority_valid_same,2 valid responses are identical,"Institute for Social Research, https://isr.umich.edu/",True,"Institute for Social Research, https://isr.umich.edu/",True,"Institute for Social Research, https://isr.umich.edu",True
"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,Institute for Social Research,https://isr.umich.edu/,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,3,majority_valid_same,2 valid responses are identical,"Institute for Social Research, https://isr.umich.edu/",True,"Institute for Social Research, https://www.isr.umich.edu/",True,"Institute for Social Research, https://isr.umich.edu/",True
Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,McCourt School of Public Policy,https://mccourt.georgetown.edu,https://grad.georgetown.edu/public-policy/,https://mccourt.georgetown.edu/master-of-science-in-data-science-for-public-policy/,3,all_valid_same,All 3 valid responses are identical,"McCourt School of Public Policy, https://mccourt.georgetown.edu",True,"McCourt School of Public Policy, https://mccourt.georgetown.edu",True,"McCourt School of Public Policy, https://mccourt.georgetown.edu",True
University of Virginia,ME,Biomedical Engineering,工程学院,University of Virginia School of Engineering and Applied Science,https://engineering.virginia.edu,https://engineering.virginia.edu/graduate-study/future-grad-students/graduate-admission,https://engineering.virginia.edu/department/biomedical-engineering/academics/graduate-programs/me-biomedical-engineering,3,majority_valid_same,2 valid responses are identical,"School of Engineering and Applied Science, https://engineering.virginia.edu",True,"University of Virginia School of Engineering and Applied Science, https://engineering.virginia.edu",True,"University of Virginia School of Engineering and Applied Science, https://engineering.virginia.edu",True
Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,Heinz College,https://www.heinz.cmu.edu,https://www.heinz.cmu.edu/admissions/public-policy-management/,https://www.heinz.cmu.edu/programs/public-policy-management-master/,3,all_valid_same,All 3 valid responses are identical,"Heinz College, https://www.heinz.cmu.edu",True,"Heinz College, https://www.heinz.cmu.edu",True,"Heinz College, https://www.heinz.cmu.edu",True
Carnegie Mellon University,Ph.D.,Societal Computing,计算机科学学院,School of Computer Science,https://www.cs.cmu.edu/,https://sc.cs.cmu.edu/prospective-students/index.html,https://sc.cs.cmu.edu/program/index.html,3,all_valid_different,"All valid responses are different, randomly selected","School of Computer Science, https://www.cs.cmu.edu",True,"School of Computer Science, https://cs.cmu.edu",True,"School of Computer Science, https://www.cs.cmu.edu/",True
Washington University in St. Louis,MSBDS,Master of Science in Biostatistics and Data Science (MSBDS),医学院,School of Medicine,https://medicine.wustl.edu,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/admissions/application-information/,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/,1,single_valid_response,Only one valid response,"The program URL states: ""The Master of Science in Biostatistics and Data Science (MSBDS) is offered by the Institute for Informatics, Biostatistics and Data Science (I2DB) in the School of Medicine at Washington University in St. Louis.""

It also mentions ""Washington University in St. Louis, School of Medicine"" at the bottom of both pages.

The ""School of Medicine"" seems to be the main school/college. The URL for the School of Medicine is likely `https://medicine.wustl.edu`. I will check this.",False,"The program description clearly states: ""The Master of Science in Biostatistics and Data Science (MSBDS) is offered by the Institute for Informatics, Biostatistics and Data Science (I2DB) in the School of Medicine at Washington University in St. Louis.""

The provided URLs (https://i2db.wustl.edu/...) are for the ""Institute for Informatics, Data Science & Biostatistics"". This institute is within the ""School of Medicine"" at Washington University in St. Louis.

So, the school is the ""School of Medicine"". Now I need to find the homepage URL for the School of Medicine. I can infer the URL from the current domain: `https://medicine.wustl.edu`. I will check this.",False,"School of Medicine, https://medicine.wustl.edu",True
Washington University in St. Louis,PHD,Biomedical Informatics and Data Science,医学院,Roy and Diana Vagelos Division of Biology & Biomedical Sciences,https://dbbs.wustl.edu,https://dbbs.wustl.edu/admissions/application-requirements/,https://dbbs.wustl.edu/programs/,3,all_valid_same,All 3 valid responses are identical,"Roy and Diana Vagelos Division of Biology & Biomedical Sciences, https://dbbs.wustl.edu",True,"Roy and Diana Vagelos Division of Biology & Biomedical Sciences, https://dbbs.wustl.edu",True,"Roy and Diana Vagelos Division of Biology & Biomedical Sciences, https://dbbs.wustl.edu",True
"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,Division of Graduate Education and Postdoctoral Affairs,https://grad.ucsd.edu/,https://css.ucsd.edu/masters/Prospectives.html,https://css.ucsd.edu/masters/index.html,1,single_valid_response,Only one valid response,"Division of Graduate Education and Postdoctoral Affairs, https://grad.ucsd.edu/",True,Not found,False,"The browsed pages (https://css.ucsd.edu/masters/Prospectives.html and https://css.ucsd.edu/masters/index.html) refer to the ""Computational Social Science CSS UC San Diego"" program itself, but they do not explicitly state which *school*, *college*, or *faculty* houses this program. The ""Application Requirements"" section mentions applying through ""UC San Diego's Division of Graduate Education and Postdoctoral Affairs Graduate Application"", but this seems to be the central graduate admissions office, not the specific academic unit.

I will perform a Google search to find the specific school/college.",False
"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,School of Social Sciences,https://socialsciences.ucsd.edu/,https://css.ucsd.edu/phd-specialization/admissions.html,https://css.ucsd.edu/phd-specialization/index.html,2,all_valid_same,All 2 valid responses are identical,Not found,False,"School of Social Sciences, https://socialsciences.ucsd.edu/",True,"School of Social Sciences, https://socialsciences.ucsd.edu/",True
"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,Biomedical Sciences Graduate Program,https://biomedsci.ucsd.edu,https://biomedsci.ucsd.edu/how-to-apply/index.html,https://biomedsci.ucsd.edu/training-areas/index.html,2,all_valid_different,"All valid responses are different, randomly selected","UC San Diego School of Medicine, https://medschool.ucsd.edu/",True,,False,"Biomedical Sciences Graduate Program, https://biomedsci.ucsd.edu",True
University of Southern California,M.S.,Communication Data Science,传播与新闻学院,USC Annenberg School for Communication and Journalism,https://annenberg.usc.edu,https://annenberg.usc.edu/admissions/graduate-applicants,https://annenberg.usc.edu/academics/communication-data-science-ms,2,all_valid_same,All 2 valid responses are identical,"USC Annenberg School for Communication and Journalism, https://annenberg.usc.edu",True,"USC Annenberg School for Communication and Journalism, https://annenberg.usc.edu",True,,False
University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,Viterbi School of Engineering,https://viterbi.usc.edu,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,3,majority_valid_same,2 valid responses are identical,"USC Viterbi School of Engineering, https://viterbi.usc.edu",True,"Viterbi School of Engineering, https://viterbi.usc.edu",True,"Viterbi School of Engineering, https://viterbi.usc.edu",True
University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,USC Viterbi School of Engineering,https://viterbi.usc.edu,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,2,all_valid_same,All 2 valid responses are identical,"USC Viterbi School of Engineering, https://viterbi.usc.edu",True,,False,"USC Viterbi School of Engineering, https://viterbi.usc.edu",True
University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,USC Viterbi School of Engineering,https://viterbi.usc.edu,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,3,majority_valid_same,2 valid responses are identical,"USC Viterbi School of Engineering, https://viterbi.usc.edu",True,"USC Viterbi School of Engineering, https://viterbischool.usc.edu/",True,"USC Viterbi School of Engineering, https://viterbi.usc.edu",True
University of Southern California,M.S.,Spatial Data Science,工程学院,USC Dana and David Dornsife College of Letters,https://dornsife.usc.edu/,https://gis.usc.edu/admissions/#mssds,https://gis.usc.edu/programs/masters-spatial-data-science/,3,all_valid_different,"All valid responses are different, randomly selected","Spatial Sciences Institute, https://dornsife.usc.edu/spatial-sciences-institute/",True,"USC Dana and David Dornsife College of Letters, Arts and Sciences, https://dornsife.usc.edu/",True,"USC Dana and David Dornsife College of Letters, Arts and Sciences, https://dornsife.usc.edu",True
University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,USC Dana and David Dornsife College of Letters,https://dornsife.usc.edu,https://gis.usc.edu/admissions/#msseda,https://gis.usc.edu/programs/masters-spatial-economics-and-data-analysis/,3,majority_valid_same,2 valid responses are identical,"USC Dana and David Dornsife College of Letters, Arts and Sciences, https://dornsife.usc.edu",True,"USC Dornsife College of Letters, Arts and Sciences, https://dornsife.usc.edu",True,"USC Dana and David Dornsife College of Letters, Arts and Sciences, https://dornsife.usc.edu",True
University of Southern California,M.S.,Public Policy Data Science,公共政策学院,Sol Price School of Public Policy,https://priceschool.usc.edu,https://priceschool.usc.edu/mppds/admission/,https://priceschool.usc.edu/mppds/,3,majority_valid_same,2 valid responses are identical,"USC Price School of Public Policy, https://priceschool.usc.edu",True,"Sol Price School of Public Policy, https://priceschool.usc.edu",True,"Sol Price School of Public Policy, https://priceschool.usc.edu",True
"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,Samueli School of Engineering,https://engineering.uci.edu/,https://meng.eng.uci.edu/apply/#admission%20requirements,https://meng.eng.uci.edu/explore/#concentrations,3,majority_valid_same,2 valid responses are identical,"Samueli School of Engineering, https://engineering.uci.edu",True,"Samueli School of Engineering, https://engineering.uci.edu/",True,"Samueli School of Engineering, https://engineering.uci.edu/",True
Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,School of City & Regional Planning,https://planning.gatech.edu,https://grad.gatech.edu/degree-programs/urban-analytics,https://planning.gatech.edu/master-science-urban-analytics,3,majority_valid_same,2 valid responses are identical,"School of City & Regional Planning, https://planning.gatech.edu",True,"School of City & Regional Planning, https://planning.gatech.edu",True,"School of City & Regional Planning, https://planning.gatech.edu/",True
"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,Bren School of Environmental Science & Management,https://bren.ucsb.edu,https://www.graddiv.ucsb.edu/graduate-programs/departments/environmental-science-management-bren-school,https://bren.ucsb.edu/masters-programs/master-environmental-data-science,3,all_valid_same,All 3 valid responses are identical,"Bren School of Environmental Science & Management, https://bren.ucsb.edu",True,"Bren School of Environmental Science & Management, https://bren.ucsb.edu",True,"Bren School of Environmental Science & Management, https://bren.ucsb.edu",True
New York University,MS,Data Science – Biomedical Informatics Track,文理研究生院,Graduate School of Arts & Science,https://gsas.nyu.edu,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-tracks/,3,majority_valid_same,2 valid responses are identical,"Graduate School of Arts & Science, https://gsas.nyu.edu",True,"Graduate School of Arts and Science, https://gsas.nyu.edu",True,"Graduate School of Arts & Science, https://gsas.nyu.edu",True
New York University,MS,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,Steinhardt School of Culture,https://steinhardt.nyu.edu,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research,2,all_valid_same,All 2 valid responses are identical,"Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",True,"The browsed pages confirm that the ""MS, Applied Statistics for Social Science Research"" program is housed within the ""Steinhardt School of Culture, Education, and Human Development"" at NYU. The URL `https://steinhardt.nyu.edu` is the official homepage for this school.

Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",False,"Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",True
New York University,MS/MPA,Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,Steinhardt School of Culture,https://steinhardt.nyu.edu,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy,2,all_valid_same,All 2 valid responses are identical,Not found,False,"Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",True,"Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",True
New York University,MS,Statistics and Computational Social Science,文化，教育和人类发展学院,Steinhardt School of Culture,https://steinhardt.nyu.edu,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science/how-apply,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science,2,all_valid_same,All 2 valid responses are identical,"The browse result confirms that ""NYU Steinhardt"" stands for ""Steinhardt School of Culture, Education, and Human Development"". The homepage URL is `https://steinhardt.nyu.edu`.

Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",False,"Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",True,"Steinhardt School of Culture, Education, and Human Development, https://steinhardt.nyu.edu",True
"University of Wisconsin, Madison",M.S.,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,College of Letters & Science,https://ls.wisc.edu,https://guide.wisc.edu/graduate/psychology/psychology-ms/psychology-data-science-human-behavior-ms/#admissionstext,https://datascience.psych.wisc.edu/,2,all_valid_different,"All valid responses are different, randomly selected","College of Letters & Science, https://ls.wisc.edu",True,,False,"College of Letters & Science, https://ls.wisc.edu/",True
"University of Wisconsin, Madison",M.S.,"Biomedical Data Science, M.S.",医学和公共卫生学院,School of Medicine and Public Health,https://med.wisc.edu,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-ms/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/ms-bds/,3,majority_valid_same,2 valid responses are identical,"School of Medicine and Public Health, https://med.wisc.edu",True,"School of Medicine and Public Health, https://www.med.wisc.edu/",True,"School of Medicine and Public Health, https://med.wisc.edu",True
"University of Wisconsin, Madison",Ph.D.,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,School of Medicine and Public Health,https://med.wisc.edu/,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-phd/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/phd-bds/,2,all_valid_different,"All valid responses are different, randomly selected","School of Medicine and Public Health, https://www.med.wisc.edu",True,"School of Medicine and Public Health, https://med.wisc.edu/",True,,False
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,College of Liberal Arts & Sciences,https://las.illinois.edu,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,3,all_valid_same,All 3 valid responses are identical,"College of Liberal Arts & Sciences, https://las.illinois.edu",True,"College of Liberal Arts & Sciences, https://las.illinois.edu",True,"College of Liberal Arts & Sciences, https://las.illinois.edu",True
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,College of Liberal Arts & Sciences,https://las.illinois.edu,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,3,all_valid_same,All 3 valid responses are identical,"College of Liberal Arts & Sciences, https://las.illinois.edu",True,"College of Liberal Arts & Sciences, https://las.illinois.edu",True,"College of Liberal Arts & Sciences, https://las.illinois.edu",True
University of Washington,PHD,Bioengineering (PhD)：Data Science Option,工程学院,University of Washington College of Engineering,https://engineering.uw.edu/,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-O-BIOEN-00-41,https://bioe.uw.edu/academic-programs/phd/,3,all_valid_different,"All valid responses are different, randomly selected","University of Washington College of Engineering, https://engineering.uw.edu/",True,"UW College of Engineering, https://www.engr.washington.edu",True,"Department of Bioengineering, https://bioe.uw.edu",True
University of Washington,PHD,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,College of Engineering,https://engr.washington.edu,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CHEM%20E-00-30,https://www.cheme.washington.edu/graduate_students/prosp_grad/program/ADS.html,3,all_valid_different,"All valid responses are different, randomly selected","College of Engineering, https://engr.washington.edu",True,"University of Washington College of Engineering, https://engr.washington.edu",True,"UW College of Engineering, https://www.engr.washington.edu",True
