univ_rank,univ_name,city,degree_detail,program_name,program_detail,program_length,application_fee_usd,terms_start,deadline,gpa_req,toefl_req,ielts_req,gre_req,gmat_req,academic_background,material_requirements,admission_url,program_url,more_info,course_url,interview,application_fee_waiver,department,department_url,recommendation_letters,ets_code,tags,professional_program,grad_requirement
7,Duke University,"Durham, NC",Meng,Electrical and Computer Engineering-Machine Learning & Big Data,,1.5-2 years,75,Fall,01-15,,"Requirement, previous average score 102-109","Required, previous average score 7.0-7.5","Optional, past average scores V155-162;Q168-170",Not accepted,"Duolingo preferred, past average score 115-130.",Transcripts；Letters of recommendation；Statement of purpose；Resume,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,"• Industry-focused curriculum: integrates business fundamentals and high-tech management with advanced technical training.
• Mandatory industry internship: provides practical experience and professional development support.
• Machine Learning & Big Data specialization: emphasizes mathematical foundations, programming, and advanced ML techniques.
• Flexible, individualized curriculum: offers diverse study tracks and project-based learning opportunities.
- Additional deadlines: 3月15日
- GPA_AVERAGE: Past average GPA 3.6-3.9",,Required,Applicable,Pratt School of Engineering,https://pratt.duke.edu,3,5156,"Engineering, Computer Science, Machine Learning/Ai, Mathematics/Statistics, Interdisciplinary",Professional,Industry internship and ECE Master's Success Weekly Seminar are required.
7,Duke University,"Durham, NC",MS,Statistical Science（Data Science & Analytics ）,,2 years,95,Fall,01-06,,90,7,"Required, past average scores V160+Q168",Not accepted,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,"• Advanced curriculum in stochastic model-based inference, Bayesian, and machine learning for massive data.
• Interdisciplinary applications across biomedical sciences, business, economics, and engineering fields.
• Year-long capstone project providing practical solutions for real clients with faculty mentorship.
• Robust career services including industry partnerships, internships, and professional development resources.
• Impressive career outcomes: 2024 graduates averaged $131,250 base salary in diverse roles like data scientist.
- GPA_AVERAGE: Past average GPA 3.8",https://stat.duke.edu/ms/mss/program-requirements,Not needed,Applicable,The Graduate School,https://gradschool.duke.edu,3,5156,"Statistics, Interdisciplinary, Machine Learning, Bayesian Methods, Data Science",Professional,"A Master's thesis, Master's portfolio, or Master's capstone project is required, each culminating in an oral completion exam."
7,Duke University,"Durham, NC",MS,Interdisciplinary Data Science,,2 years,95,Fall,02-13,,90,7,Optional,Not accepted,,Transcripts；Letters of recommendation；Statement of purpose；Resume； writing sample,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,"• Interdisciplinary curriculum combines rigorous computational training with field knowledge.
• Capstone projects provide real-world experience with non-academic stakeholders.
• Team-based science approach emphasizes collaborative leadership and communication skills.
• Summer internships offer practical experience and industry engagement.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFWIRaYDJ5oHTWIW7HtQqn6eB0t5GmMlD7p8CIAWuxwPIvESXC2qQjywlRMHG79qO9iXw8G8fanNT78XG3SPLP93PeQBOArcqWWjTrQuHMBjQ9XwIAkQqdMlFsJwID4yGJS2wMdtss1Sqq0KBbZWhETUyfr8mpptSOOaDG9R_DBAbQ=,Required,Unknown,The Graduate School,https://gradschool.duke.edu,3,5156,"Data Science, Interdisciplinary, Computational Training, Technical Training, Teamwork",Professional,Capstone project required.
7,Duke University,"Durham, NC",MENG,Electrical and Computer Engineering,Software Development; Big Data Analytics,,95,Fall,12-15,,90,7,Optional for 24,Not accepted,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,"• Industry-focused curriculum integrating technical classes with business leadership and management.
• Required internship or project provides practical experience for IT industry roles.
• Dedicated career services and professional development team supports job and internship searches.
• Curriculum adaptable for students without prior engineering or computer science degrees.
- Additional deadlines: 1月 15 日
- GPA_AVERAGE: past average score 3.7",,Required,Applicable,Pratt School of Engineering,https://pratt.duke.edu,3,5156,"Electrical Engineering, Computer Engineering, Interdisciplinary, Software Development, Big Data Analysis",Professional,An industry internship and a master of engineering project with assessment are required.
9," 
Brown University","Providence, RI",MS,Data Science,"Provides a fundamental understanding through the study of relevant topics in mathematics, statistics, and computer science, including machine learning, data mining, security and privacy, visualization, and data science methods and algorithms.",,100,Fall,02-01,,90,7,Not required,Not accepted,"Students entering this program are advised to have completed at least one year of calculus, one semester of linear algebra, one semester of calculus-based probability and statistics, and an introduction to programming. We also admit excellent students who lack one or more of the minimum requirements in linear algebra, probability and statistics, and computer science. These students will take courses at Brown or elsewhere before the start of the program to achieve the necessary preparation.",Personal Statement ;Transcripts;Letters of Recommendation ;Resume,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,"• Integrated curriculum: foundational computer science, mathematics, statistics, and domain-specific knowledge.
• Core technical areas: machine learning, data mining, visualization, and data management.
• Experiential capstone project: hands-on application of data science methods to real-world problems.
• Ethical and societal implications: addresses responsible data-driven approaches and AI governance.",,Not needed,Applicable,Data Science Institute,https://dsi.brown.edu,3,3094,"Data Science, Computer Science, Mathematics, Statistics, Interdisciplinary",Professional,Capstone project required.
9,Northwestern University,"Evanston, IL",MS,Master of Science in Machine Learning and Data Science,"Northwestern University's Master of Science in Machine Learning and Data Science (MLDS) program provides data scientists with a technical background in machine learning and artificial intelligence, complemented by the soft skills required for ethical leadership. Our graduates are prepared to guide teams, organizations, and society into a future where privacy, fairness, and autonomy will be at the forefront of decision-making.",15 months,75,Fall,12-01,3,95,7.5,Optional,Optional,"Applicants from all backgrounds are encouraged to apply. However, candidates with strong quantitative skills or academic/professional backgrounds in mathematics, IT, and programming are more competitive in the application process.",Transcripts； letters of recommendation；Personal Statement；CV or Resume,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,"• 15-month professional master's with applied curriculum in ML, AI, data engineering, and business analytics.
• Required summer internship and two industry-sourced projects: 8-month Practicum and 10-week Capstone.
• Cross-disciplinary faculty expertise from engineering, computer science, business, journalism, and industry.
• Dedicated career support, including networking events and full access to university career services for alumni.
• Small cohort size (~55 students) ensures individualized attention and fosters a strong, collaborative community.
- Additional deadlines: 1月15日",,Required,Applicable,Robert R. McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/,3,1565,"Machine Learning, Data Science, Artificial Intelligence, Statistics, Interdisciplinary",Professional,"A required summer internship, an 8-month practicum project, and a 10-week capstone project are required."
9,Northwestern University,"Evanston, IL",MS,Statistics and Data Science,"Provides students with comprehensive training in advanced theories and methods of statistics and data science, along with exposure to cutting-edge research or collaborative experience, for the practical application of statistics and data science.",,95,Fall,01-15,3,80,7,Optional,Not accepted,,Transcripts； letters of recommendation；Personal Statement；CV or Resume;,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,"• Comprehensive training in advanced statistics and data science theory and methodology.
• Interdisciplinary faculty with diverse research interests and collaborations across multiple fields.
• Flexible curriculum allowing specialization, optional thesis, and study duration from four quarters to two years.
• Practical experience facilitated through internship opportunities with CPT information for students.",,Not needed,Applicable,Weinberg College of Arts & Sciences,https://weinberg.northwestern.edu/,2,1565,"Statistics, Data Science, Mathematics, Interdisciplinary",Professional,No additional graduation requirement.
9,Johns Hopkins University,"Baltimore, MD",MSE,Data Science,"Aims to cultivate the next generation of data science leaders, emphasizing the mastery of skills required to transform real-world data-driven problems into mathematical problems, and then solve these problems using a variety of scientific tools.",,75,Fall,12-15,,100,7,"Required, GRE Math subject test scores recommended",Not accepted,"Preferably a bachelor's degree in engineering, mathematics, computer science, or science. In addition, candidates should have completed undergraduate coursework in at least calculus (through multivariable calculus), linear algebra, differential equations, probability, computer programming (e.g., in C++ or Python), preferably supplemented by a statistics course, and at least one proof-based writing course.",Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,"• Mastery emphasis: translating real-world data problems into mathematical ones using diverse scientific tools.
• Capstone experience: a six-credit research-oriented project culminating in a written paper and poster session.
• Foundational training: applied mathematics, statistics, and computer science for comprehensive data science understanding.
• Career resources: access to the university's Life Design Lab and Graduate Career/Life Design Lab.",https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,Not needed,Applicable,Whiting School of Engineering,https://engineering.jhu.edu,3,,"Applied Mathematics, Statistics, Computer Science, Data Science, Interdisciplinary",Professional,Capstone project required.
9,Johns Hopkins University,"Baltimore, MD",MSE,Data Science,"Aims to cultivate the next generation of data science leaders, emphasizing the mastery of skills required to transform real-world data-driven problems into mathematical problems, and then solve these problems using a variety of scientific tools.",,75,Spring,09-15,,100,7,"Required, GRE Math subject test scores recommended",Not accepted,"Preferably a bachelor's degree in engineering, mathematics, computer science, or science. In addition, candidates should have completed undergraduate coursework in at least calculus (through multivariable calculus), linear algebra, differential equations, probability, computer programming (e.g., in C++ or Python), preferably supplemented by a statistics course, and at least one proof-based writing course.",Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,"• Fully residential MSE program emphasizing real-world data problem translation and solution.
• Six-credit research-oriented Capstone Experience with faculty supervision and poster session.
• Comprehensive training in applied mathematics, statistics, and computer science for data science.
• Dedicated career support through the Life Design Lab and Graduate Career/Life Design Lab.",,Not needed,Applicable,Whiting School of Engineering,https://engineering.jhu.edu,3,,"Data Science, Applied Mathematics, Statistics, Computer Science, Interdisciplinary",Professional,Capstone project required.
9,Johns Hopkins University,"Baltimore, MD",PHD,Applied Mathematics and Statistics,"Research and academic opportunities in the doctoral program cover a wide range of interconnected fields in applied mathematics, reflecting the diverse scientific interests of the department's faculty. These include:

Data Science, with a focus on theoretical foundations, modeling techniques, and algorithm development.
Probability and Statistics, with a focus on theory and applications, particularly knowledge related to machine learning.
Financial Mathematics, as well as a focus on optimization/operations research, addressing discrete and continuous optimization problems.
Discrete Mathematics, with an emphasis on combinatorics and graph theory.
Computational and Applied Mathematics, with a focus on developing mathematical and numerical models for various applications in fluid dynamics, shape analysis, and biomedical engineering.",,75,Fall,12-15,,100,7,Not required,Not accepted,"Preferably a bachelor's degree in engineering, mathematics, science, finance*, or economics*. In addition, ideal candidates should have completed undergraduate coursework in: calculus, through multivariable calculus; linear algebra; differential equations; probability and statistics; microeconomics and macroeconomics*; computer programming (e.g., in C++).",Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,"• Core research in Data Science, Probability/Statistics, Financial Mathematics, and Computational/Applied Mathematics.
• Interdisciplinary focus: computational medicine research via partnership with JHU's Institute for Computational Medicine.
• Internship Network in Mathematical Sciences (INMAS) for careers in business, industry, and government.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEOULXrmvYxs21YX7BnzBhnewTQOu5l2VI8wfijwBYgLc4d56fGXsy40E_UGbMH4LV6LP8T_EUeiKrrNSz0f9w0KI48PvxTxwqfJrw5uR0G581v5HNjCcaKHG7tYBFsQ378d8_D5JapvClS0F7s363oJfZ6-l9gCB1SwmG-9-YVJrtR2Lxv5BTh2MtXBj3ay_34zpZBi-s6bSUFY2tMN1nOMcf7fOyEuH1_DUkzTpl4dBpcxkPjiCyijDXijwSV0TEaTYbhqUMeadb-nd43Izni9fv7tQ==,Optional,Unknown,Whiting School of Engineering,https://engineering.jhu.edu,3,,"Applied Mathematics, Statistics, Interdisciplinary, Data Science, Machine Learning",Professional,"A doctoral dissertation, an Introductory Examination, a Ph.D. Candidacy Examination, a Graduate Board Oral Examination, and a teaching or research assistantship are required."
9,Johns Hopkins University,"Baltimore, MD",PHD,Applied Mathematics and Statistics,"Research and academic opportunities in the doctoral program cover a wide range of interconnected fields in applied mathematics, reflecting the diverse scientific interests of the department's faculty. These include:

Data Science, with a focus on theoretical foundations, modeling techniques, and algorithm development.
Probability and Statistics, with a focus on theory and applications, particularly knowledge related to machine learning.
Financial Mathematics, as well as a focus on optimization/operations research, addressing discrete and continuous optimization problems.
Discrete Mathematics, with an emphasis on combinatorics and graph theory.
Computational and Applied Mathematics, with a focus on developing mathematical and numerical models for various applications in fluid dynamics, shape analysis, and biomedical engineering.",,75,Spring,09-15,,100,7,Not required,Not accepted,"Preferably a bachelor's degree in engineering, mathematics, science, finance*, or economics*. In addition, ideal candidates should have completed undergraduate coursework in: calculus, through multivariable calculus; linear algebra; differential equations; probability and statistics; microeconomics and macroeconomics*; computer programming (e.g., in C++).",Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,"• Diverse research areas: data science, probability/statistics, financial mathematics, discrete mathematics, and computational/applied mathematics.
• Interdisciplinary focus: computational medicine partnership with JHU's Institute for Computational Medicine.
• Career readiness: Internship Network in Mathematical Sciences (INMAS) for industry and government careers.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGIi30OGe8T8RDi5ftjB3uAQuxut3_kf8E8wN9MM6vwjca_62IThNLicSOsuPXlxo8q095dA0T44cOqRNE_JOb5ouz5dJPB6nxIl8wOZQuu2iV6yYYxpVNHUv2eYNgCruz40FMJJ5qbs4vXOxFRoWcIgKEIb4xeyy31Gq7YGFrf9khoLchGWe4-CzMwOnRAZX_z-pqYzRABBeCK8EB9ElfFhft3tUVflqGNTqotUPi8pe8VIIYEI4HeFhFTpyOf2cxsKi2x4PWHC4gZAnUmxepRI1fjoQ==,Optional,Unknown,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu/,3,,"Applied Mathematics, Statistics, Interdisciplinary, Data Science, Financial Mathematics",Professional,A research dissertation is required.
9,Johns Hopkins University,"Baltimore, MD",MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,Select from the following six technical directions: Cybersecurity; Data Analytics; Engineering Management; Environmental Planning and Management; Healthcare Systems Engineering; Systems Engineering,,75,Fall,03-15,,100,7,Required,Not accepted,,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,"• Dual-track curriculum: Combines a cohort-based management track with six specialized technical tracks for comprehensive global leadership skills.
• Practical experience: Offers real-world projects, case studies, and a 1-credit internship opportunity.
• Career readiness: Prepares graduates for leadership roles in diverse sectors, supported by an industry professional network.
• STEM-designated degree: Provides a competitive advantage in the job market, welcoming students from varied academic backgrounds.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFchlni9HNzVG1IyBjYyqyA9F0hetTWRnPqAqjzRFqaFV9x7QNzpUW_PaGv5PFm07v2TmazFvvrsWl3_ZyhJyxR6jMaNiV5evbZDxrR4UwSxq-K-fyriTmk-73846hdOliFDO7rZgKzvWiDw-9eyK1LycpZk4a4LZjdFCTL_wh8l9XcvdqvZhRxR6x_F9otpGpn-4QmKeNxRg288vybe5uM8F3INxeo0jOYdupY2ojfiHh0WBbU0cCiJ5z0ZzfmdklqRDWRLOitEfNxRnYYlnFo1P9ZuP5Ch7u5-zowC5Bulw==,Not needed,Applicable,Whiting School of Engineering,https://engineering.jhu.edu,3,,,Professional,No additional graduation requirement.
12,Columbia University,"New York, NY",MS,Data Science,,30 credits,85,Fall,01-15,,99,6.5,Optional,Optional,,Official transcript ；Three recommendation letters；Personal statement；Resumé or Curriculum Vitae,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,"• Year-long capstone project with industry, government, or non-profit partners.
• Interdisciplinary curriculum jointly offered by Statistics, Computer Science, and Industrial Engineering.
• Strong career placement at leading companies including Amazon, Google, and McKinsey.
• Flexible electives: explore entrepreneurship or specialized tracks via eight research centers.
- Additional deadlines: 2月15日",https://datascience.columbia.edu/education/programs/m-s-in-data-science/,Not needed,Applicable,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,3,,"Data Science, Statistics, Computer Science, Engineering, Interdisciplinary",Professional,Capstone project required.
