大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,所属院系英文名称,所属院系网址,response_1,response_2,response_3,response_1_valid,response_2_valid,response_3_valid,valid_response_count,selected_response,consistency_type,consistency_detail
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,The Graduate School,https://gradschool.duke.edu,"The Graduate School, https://gradschool.duke.edu","The Graduate School, https://gradschool.duke.edu","The Graduate School, https://gradschool.duke.edu",True,True,True,3,"The Graduate School, https://gradschool.duke.edu",all_valid_same,All 3 valid responses are identical
Duke University,MS,Interdisciplinary Data Science,文理学院,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,The Graduate School,https://gradschool.duke.edu,"The Graduate School, https://gradschool.duke.edu/","The Graduate School, https://gradschool.duke.edu","The Graduate School, https://gradschool.duke.edu",True,True,True,3,"The Graduate School, https://gradschool.duke.edu",majority_valid_same,2 valid responses are identical
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,Pratt School of Engineering,https://pratt.duke.edu,"Pratt School of Engineering, https://pratt.duke.edu","Pratt School of Engineering, https://pratt.duke.edu","Pratt School of Engineering, https://pratt.duke.edu",True,True,True,3,"Pratt School of Engineering, https://pratt.duke.edu",all_valid_same,All 3 valid responses are identical
" 
Brown University",MS,Data Science,研究生院,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,Data Science Institute,https://dsi.brown.edu,"Data Science Institute, https://dsi.brown.edu","Data Science Institute, https://dsi.brown.edu","Data Science Institute, https://dsi.brown.edu",True,True,True,3,"Data Science Institute, https://dsi.brown.edu",all_valid_same,All 3 valid responses are identical
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,Robert R. McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/,"Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu/","Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu/","Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",True,True,True,3,"Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu/",majority_valid_same,2 valid responses are identical
Northwestern University,MS,Statistics and Data Science,文理学院,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,Weinberg College of Arts & Sciences,https://weinberg.northwestern.edu/,,"Weinberg College of Arts & Sciences, https://weinberg.northwestern.edu/","Weinberg College of Arts & Sciences, https://www.weinberg.northwestern.edu/",False,True,True,2,"Weinberg College of Arts & Sciences, https://weinberg.northwestern.edu/",all_valid_different,"All valid responses are different, randomly selected"
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,Whiting School of Engineering,https://engineering.jhu.edu,"Whiting School of Engineering, https://engineering.jhu.edu","Whiting School of Engineering, https://engineering.jhu.edu","Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu/",True,True,True,3,"Whiting School of Engineering, https://engineering.jhu.edu",majority_valid_same,2 valid responses are identical
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,Whiting School of Engineering,https://engineering.jhu.edu,"Whiting School of Engineering, https://engineering.jhu.edu","Whiting School of Engineering, https://engineering.jhu.edu","The browse result for `https://engineering.jhu.edu/` clearly shows the title ""Johns Hopkins Whiting School of Engineering"". The content further confirms that this is indeed the School of Engineering at Johns Hopkins University. The URL `https://engineering.jhu.edu` is the official homepage for this school.",True,True,False,2,"Whiting School of Engineering, https://engineering.jhu.edu",all_valid_same,All 2 valid responses are identical
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,Whiting School of Engineering,https://engineering.jhu.edu,"Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu","Whiting School of Engineering, https://engineering.jhu.edu","Whiting School of Engineering, https://engineering.jhu.edu/
",True,True,True,3,"Whiting School of Engineering, https://engineering.jhu.edu",all_valid_different,"All valid responses are different, randomly selected"
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu/,"Whiting School of Engineering, https://engineering.jhu.edu/","Whiting School of Engineering, https://engineering.jhu.edu","Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu/",True,True,True,3,"Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu/",all_valid_different,"All valid responses are different, randomly selected"
Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,Whiting School of Engineering,https://engineering.jhu.edu,"Whiting School of Engineering, https://engineering.jhu.edu","Whiting School of Engineering, https://engineering.jhu.edu","Whiting School of Engineering, https://engineering.jhu.edu",True,True,True,3,"Whiting School of Engineering, https://engineering.jhu.edu",all_valid_same,All 3 valid responses are identical
Columbia University,MS,Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu","The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu","The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,True,True,3,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",all_valid_same,All 3 valid responses are identical
Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,"The Data Science Institute, https://datascience.columbia.edu","The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu","The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,True,True,3,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",majority_valid_same,2 valid responses are identical
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,Columbia University School of Professional Studies,https://sps.columbia.edu,"Columbia University School of Professional Studies, https://sps.columbia.edu",,"School of Professional Studies, https://sps.columbia.edu",True,False,True,2,"Columbia University School of Professional Studies, https://sps.columbia.edu",all_valid_different,"All valid responses are different, randomly selected"
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,School of Professional Studies,https://sps.columbia.edu,"Columbia University School of Professional Studies, https://sps.columbia.edu","School of Professional Studies, https://sps.columbia.edu","School of Professional Studies, https://sps.columbia.edu",True,True,True,3,"School of Professional Studies, https://sps.columbia.edu",majority_valid_same,2 valid responses are identical
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,School of Operations Research and Information Engineering,https://www.orie.cornell.edu,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu/orie/","School of Operations Research and Information Engineering, https://www.orie.cornell.edu","School of Operations Research and Information Engineering, https://www.orie.cornell.edu",True,True,True,3,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu",majority_valid_same,2 valid responses are identical
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,School of Operations Research and Information Engineering,https://www.orie.cornell.edu/orie/,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu/orie/","School of Operations Research and Information Engineering, https://www.orie.cornell.edu/orie/","Cornell Engineering, https://www.engineering.cornell.edu",True,True,True,3,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu/orie/",majority_valid_same,2 valid responses are identical
Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,https://tech.cornell.edu/admissions/meng-application/,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,Cornell Tech,https://tech.cornell.edu,"Cornell Tech, https://tech.cornell.edu","Cornell Tech, https://tech.cornell.edu","Cornell Tech, https://tech.cornell.edu",True,True,True,3,"Cornell Tech, https://tech.cornell.edu",all_valid_same,All 3 valid responses are identical
Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-mps-ithaca/,https://infosci.cornell.edu/masters/mps,Cornell Ann S. Bowers College of Computing and Information Science,https://cis.cornell.edu,"Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu/","Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu","Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu",True,True,True,3,"Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu",majority_valid_same,2 valid responses are identical
Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-phd-ithaca/,https://infosci.cornell.edu/phd,Faculty of Computing and Information Science,https://infosci.cornell.edu/,"Faculty of Computing and Information Science, https://infosci.cornell.edu/",,"Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu/",True,False,True,2,"Faculty of Computing and Information Science, https://infosci.cornell.edu/",all_valid_different,"All valid responses are different, randomly selected"
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,Cornell Ann S. Bowers College of Computing and Information Science,https://www.cis.cornell.edu/,"Department of Statistics and Data Science, https://stat.cornell.edu","Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu/","Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu",True,True,True,3,"Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu/",all_valid_different,"All valid responses are different, randomly selected"
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,Cornell Ann S. Bowers College of Computing and Information Science,https://cis.cornell.edu/,"Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu/","The first URL, `https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/`, is from the Cornell University Graduate School. It mentions that the program draws elective coursework from the ""Department of Statistical Science"" and provides a contact website: `http://www.stat.cornell.edu`. This suggests the program is housed within the Department of Statistical Science.

The second URL, `https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics`, is from the ""Cornell University Department of Statistics and Data Science"". The title of the page confirms this. It explicitly states: ""Welcome to the Department of Statistics and Data Science"" and describes the MPS program as part of its offerings. This is a direct match.

Therefore, the school/college is the Department of Statistics and Data Science, and its homepage is `https://stat.cornell.edu`.
Department of Statistics and Data Science, https://stat.cornell.edu","Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu/",True,False,True,2,"Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu/",all_valid_different,"All valid responses are different, randomly selected"
University of Chicago,MScA,Applied Data Science,物理科学部,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/,Physical Sciences Division,https://physicalsciences.uchicago.edu/,"Data Science Institute, https://datascience.uchicago.edu","Physical Sciences Division, https://physicalsciences.uchicago.edu/","The browsed pages indicate that the program is housed within the ""Data Science Institute (DSI)"" at the University of Chicago. Both pages prominently feature ""DSI"" and state ""The Data Science Institute (DSI) executes the University of Chicago's bold, innovative vision of Data Science as a new discipline.""

The footer of both pages also lists ""Physical Sciences Division"". However, the program itself clearly states it's from the Data Science Institute. The Data Science Institute seems to be the direct ""school/college/faculty"" for this program, and its main page is the one I'm currently on, https://datascience.uchicago.edu.

I will confirm this by checking the ""Physical Sciences Division"" website if it provides more clarity. I'll search for ""University of Chicago Physical Sciences Division"" to find its homepage.",True,True,False,2,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",all_valid_different,"All valid responses are different, randomly selected"
University of Chicago,MS,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/ms-data-science/,Physical Sciences Division,https://physicalsciences.uchicago.edu/,,"Physical Sciences Division, https://physicalsciences.uchicago.edu/","Physical Sciences Division, https://physicalsciences.uchicago.edu",False,True,True,2,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",all_valid_different,"All valid responses are different, randomly selected"
University of Chicago,Ph.D,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/phd-in-data-science/,Physical Sciences Division,https://physicalsciences.uchicago.edu/,"Physical Sciences Division, https://psd.uchicago.edu","Physical Sciences Division, https://physicalsciences.uchicago.edu/","Data Science Institute, https://dsi.uchicago.edu/",True,True,True,3,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",all_valid_different,"All valid responses are different, randomly selected"
"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,https://grad.berkeley.edu/program/electrical-engineering-computer-sciences-meng/,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/,College of Engineering,https://engineering.berkeley.edu,"College of Engineering, https://engineering.berkeley.edu","College of Engineering, https://engineering.berkeley.edu","Department of Electrical Engineering and Computer Sciences, https://eecs.berkeley.edu",True,True,True,3,"College of Engineering, https://engineering.berkeley.edu",majority_valid_same,2 valid responses are identical
"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,https://grad.berkeley.edu/program/master-of-analytics-manlytx/,https://analytics.berkeley.edu/,College of Engineering,https://engineering.berkeley.edu,"College of Engineering, https://engineering.berkeley.edu","College of Engineering, https://engineering.berkeley.edu/","College of Engineering, https://engineering.berkeley.edu",True,True,True,3,"College of Engineering, https://engineering.berkeley.edu",majority_valid_same,2 valid responses are identical
"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/engineering-master-of-engineering/,https://www.meng.ucla.edu/,UCLA Samueli School of Engineering,https://samueli.ucla.edu,"UCLA Samueli School of Engineering, https://samueli.ucla.edu","UCLA Samueli School of Engineering, https://samueli.ucla.edu",,True,True,False,2,"UCLA Samueli School of Engineering, https://samueli.ucla.edu",all_valid_same,All 2 valid responses are identical
"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,https://master.stat.ucla.edu/,Statistics and Data Science Department,https://www.stat.ucla.edu/,"Statistics and Data Science Department, https://www.stat.ucla.edu/",,"Department of Statistics and Data Science, https://stat.ucla.edu/",True,False,True,2,"Statistics and Data Science Department, https://www.stat.ucla.edu/",all_valid_different,"All valid responses are different, randomly selected"
Rice University,MDS,Master of Data Science,工程学院,https://cs.rice.edu/academics/graduate-programs/admission/graduate-program-application,https://cs.rice.edu/academics/graduate-programs/professional-master-data-science,George R. Brown School of Engineering and Computing,https://engineering.rice.edu,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu","George R. Brown School of Engineering and Computing, https://engineering.rice.edu","Department of Computer Science, https://cs.rice.edu",True,True,True,3,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu",majority_valid_same,2 valid responses are identical
Vanderbilt University,MS,Data Science ,文理学院,https://www.vanderbilt.edu/datascience/msprogram/admissions/,https://www.vanderbilt.edu/datascience/msprogram/,Vanderbilt Data Science,https://www.vanderbilt.edu/datascience/,,"Data Science Institute, https://www.vanderbilt.edu/datascience/","Vanderbilt Data Science, https://www.vanderbilt.edu/datascience/",False,True,True,2,"Vanderbilt Data Science, https://www.vanderbilt.edu/datascience/",all_valid_different,"All valid responses are different, randomly selected"
" 
University of Notre Dame",PHD,PHD IN ANALYTICS,商学院,https://graduateschool.nd.edu/degree-programs/analytics-phd---doctoral/,https://mendoza.nd.edu/research-faculty/academic-departments/phd-analytics/,Mendoza College of Business,https://mendoza.nd.edu,"Mendoza College of Business, https://mendoza.nd.edu","Mendoza College of Business, https://mendoza.nd.edu","Mendoza College of Business, https://mendoza.nd.edu/",True,True,True,3,"Mendoza College of Business, https://mendoza.nd.edu",majority_valid_same,2 valid responses are identical
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,College of Science,https://science.nd.edu/,"College of Science, https://science.nd.edu/","College of Science, https://science.nd.edu","College of Science, https://science.nd.edu/",True,True,True,3,"College of Science, https://science.nd.edu/",majority_valid_same,2 valid responses are identical
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,College of Science,https://science.nd.edu/,"College of Science, https://science.nd.edu/","College of Science, https://science.nd.edu/","College of Science, https://science.nd.edu/",True,True,True,3,"College of Science, https://science.nd.edu/",all_valid_same,All 3 valid responses are identical
"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/apply-for-grad/apply-for-meng/,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/about-the-master-of-engineering-meng-program/,College of Engineering,https://engineering.umich.edu,"College of Engineering, https://engineering.umich.edu","College of Engineering, https://engineering.umich.edu","College of Engineering, https://engin.umich.edu",True,True,True,3,"College of Engineering, https://engineering.umich.edu",majority_valid_same,2 valid responses are identical
"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/phd-program/phd-admissions-planning/,https://ioe.engin.umich.edu/graduate/phd-program/,College of Engineering,https://engin.umich.edu,"College of Engineering, https://engineering.umich.edu","College of Engineering, https://engin.umich.edu","College of Engineering, https://engin.umich.edu",True,True,True,3,"College of Engineering, https://engin.umich.edu",majority_valid_same,2 valid responses are identical
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,College of Engineering,https://engin.umich.edu,"College of Engineering, https://engin.umich.edu","College of Engineering, https://www.engin.umich.edu/","College of Engineering, https://engin.umich.edu",True,True,True,3,"College of Engineering, https://engin.umich.edu",majority_valid_same,2 valid responses are identical
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,College of Engineering,https://engin.umich.edu,"College of Engineering, http://engin.umich.edu","College of Engineering, https://engin.umich.edu","College of Engineering, https://engin.umich.edu",True,True,True,3,"College of Engineering, https://engin.umich.edu",majority_valid_same,2 valid responses are identical
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,College of Engineering,https://engin.umich.edu,,"College of Engineering, https://engin.umich.edu","College of Engineering, https://engin.umich.edu",False,True,True,2,"College of Engineering, https://engin.umich.edu",all_valid_same,All 2 valid responses are identical
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,College of Engineering,https://engin.umich.edu,"College of Engineering, https://engin.umich.edu/","College of Engineering, https://engin.umich.edu","College of Engineering, https://www.engin.umich.edu",True,True,True,3,"College of Engineering, https://engin.umich.edu",all_valid_different,"All valid responses are different, randomly selected"
"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,https://www.si.umich.edu/programs/phd-information/how-do-i-apply,https://www.si.umich.edu/programs/phd-information,School of Information,https://www.si.umich.edu,"School of Information, https://www.si.umich.edu","The browsed pages consistently refer to ""University of Michigan School of Information"" and ""UMSI"". The URLs also use `si.umich.edu`. This strongly indicates that the ""School of Information"" is the correct entity. The homepage URL appears to be `https://www.si.umich.edu`.

I will confirm this is the official homepage.","The browsed pages clearly state ""University of Michigan School of Information"" and the URL is `https://www.si.umich.edu`. This looks like the official homepage for the school/college housing the program.",True,False,False,1,"School of Information, https://www.si.umich.edu",single_valid_response,Only one valid response
