序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3
25,Columbia University,MS,Applied Analytics,School of Professional Studies,A Capstone course is required.,SUCCESS,A Capstone course is required.,A Capstone course is required.,Capstone project required.,A Capstone course is required.
26,Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,Engineering design project required.,SUCCESS,Engineering design project required.,Engineering design project required.,Engineering design project required.,An engineering design project is required.
27,Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,Engineering design project required.,SUCCESS,Engineering design project required.,,Engineering design project required.,Engineering design project required.
28,Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,An engineering design project is required.,SUCCESS,An engineering design project is required.,An engineering design project is required.,An engineering design project is required.,A capstone project is required as part of the Studio curriculum.
29,Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,Capstone project required.,SUCCESS,Capstone project required.,A capstone project is required.,Capstone project required.,Capstone project required.
30,Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,Comprehensive exam and research thesis required.,SUCCESS,Comprehensive exam and research thesis required.,"Comprehensive exam, final exam, research thesis, and publication of the dissertation are required.","A research thesis, comprehensive ""A exam,"" and a two-semester teaching assistantship are required.","The browsed pages provide general information about the Ph.D. program but do not explicitly list non-coursework graduation requirements like a thesis, comprehensive exam, or capstone project in a concise summary.

However, the second URL (https://infosci.cornell.edu/phd) has a section ""Degree Requirements and Curriculum"" under ""PHD"" and a link to ""Ph.D. Student Handbook"". These are promising links for finding the required information.

I will browse the ""Ph.D. Student Handbook"" link, which seems to be the most comprehensive source."
31,Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,An in-depth statistical analysis project is required.,SUCCESS,An in-depth statistical analysis project is required.,"The first URL states: ""The M.P.S. is not equivalent to an M.S. on several counts: the M.P.S. has a project (a large-scale data-analysis project) rather than a thesis or a qualifying exam (which would be the case for an M.S.).""

The second URL also mentions: ""Built on the three curriculum components of core courses, an in-depth data science project, and elective coursework, our program offers students the option to focus their graduate education in one of two areas: techniques of applied statistical analysis or data science, which includes high performance computing, databases and scripting."" and ""An in-depth statistical analysis MPS project supported by the core courses"".

Both sources confirm the requirement of a project.

""An in-depth statistical analysis project is required.""
An in-depth statistical analysis project is required.",In-depth statistical analysis project required.,An in-depth statistical analysis project is required.
32,Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,An in-depth statistical analysis project is required.,SUCCESS,An in-depth statistical analysis project is required.,In-depth statistical analysis project required.,An in-depth statistical analysis project is required.,An in-depth statistical analysis project is required.
33,University of Chicago,MScA,Applied Data Science,物理科学部,Capstone project required,SUCCESS,Capstone project required,A capstone project is required.,Capstone project required.,A capstone project is required.
34,University of Chicago,MS,Data Science ,物理科学部,Comprehensive final project required.,SUCCESS,Comprehensive final project required.,"The program page states: ""Students must complete the required 5 core classes, 4 electives, and a comprehensive final project in order to be eligible for degree completion.""

This seems to be the non-coursework requirement. It's a ""comprehensive final project"".
",Comprehensive final project required.,Comprehensive final project required.
35,University of Chicago,Ph.D,Data Science ,物理科学部,"A synthesis project, dissertation proposal presentation, dissertation defense, and teaching assistantship are required.",SUCCESS,"A synthesis project, dissertation proposal presentation, dissertation defense, and teaching assistantship are required.","The admissions page does not contain information about graduation requirements.
The program page for ""PhD in Data Science"" contains sections relevant to graduation requirements beyond coursework.
Specifically, it mentions:
*   ""Synthesis project"" - ""A milestone in this transition is completion of a synthesis project before the end of the second year in the program.""
*   ""Thesis Advisor and Dissertation Committee"" - Students select an advisor and establish a thesis committee.
*   ""Proposal Presentation and Admission to Candidacy"" - ""By the end of the third year, students should have scheduled and completed a proposal presentation to their committee in order to be advanced to candidacy.""
*   ""Dissertation Defense"" - ""The PhD degree will be awarded to candidates following a successful defense and the electronic submission of the final version of the dissertation to the University's Dissertation Office.""
* ""Teaching Assistantship (TA) Responsibility"" - ""Our PhD students have a a minimum requirement of 2 teaching assignments for Primary funding over their course of their degrees.""

The key non-coursework requirements are a synthesis project, a dissertation proposal presentation, and a dissertation defense. The teaching assistantship is also a requirement.

The prompt asks to summarize the requirement(s) in one concise sentence.

I need to combine ""Synthesis project"", ""Proposal presentation"", ""Dissertation defense"", and ""Teaching Assistantship"".

Let's refine the sentence to be concise and cover all points.
""A synthesis project, a dissertation proposal presentation, a dissertation defense, and teaching assistantship are required.""
This covers all the identified non-coursework requirements.","A synthesis project, dissertation proposal presentation, dissertation defense, and teaching assistantship are required.","A synthesis project, proposal presentation, and dissertation defense are required."
36,"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
37,"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,Capstone project and a 200-hour industry internship are required.,SUCCESS,Capstone project and a 200-hour industry internship are required.,Capstone project and a 200-hour summer industry internship required.,,Capstone projects and a 200-hour industry internship are required.
38,"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,Capstone project required.,SUCCESS,Capstone project required.,"The first URL did not provide content. The second URL, https://www.meng.ucla.edu/, states: ""The program includes an interdisciplinary technological concentration, an engineering professional development component and a capstone project."" Under ""COURSEWORK FOCUS,"" it also explicitly mentions ""Capstone Project.""

This directly answers the question.
Capstone project required.",Capstone project required.,Capstone project required.
39,"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,Thesis project required.,SUCCESS,Thesis project required.,Research thesis required.,Thesis project required.,Thesis project required.
40,Rice University,MDS,Master of Data Science,工程学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
41,Vanderbilt University,MS,Data Science ,文理学院,"A capstone project is required, including its completion and presentation.",SUCCESS,"A capstone project is required, including its completion and presentation.","A capstone project is required, involving completion and presentation.",Capstone project required.,"A capstone project is required, including its completion and presentation."
42," 
University of Notre Dame",PHD,PHD IN ANALYTICS,商学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=873, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=873)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2920, traffic_type=None) automatic_function_calling_history=[] parsed=None","The content from the browsed URLs provides details about the PhD in Analytics program.
Specifically, the ""Program Structure"" section on the Mendoza College of Business page seems relevant.

Let's look at the ""Program Structure"" section from the second URL:
""Year Two: In year 2, you will continue to broaden and deepen your understanding of the analytics space with ITAO seminars related to Human-centered Statistics, Mathematical Modeling for Consumer Analytics, Operations and Prescriptive Analytics, and Data and Technology Ethics. At the end of the second year, you will have an examination requirement (in the form of an exam or paper). This examination will test your knowledge of ITAO seminar courses taken over the first two years.""

""Year Four: In addition to managing your research portfolio, you'll focus on finalizing your dissertation topic and defending your proposal.""

""Year Five: The final year will involve interviewing for open positions, completing dissertation chapters, and having your final defense.""

Based on this, there is an examination requirement at the end of the second year and a dissertation/final defense requirement.

The question asks for ""graduation requirements that go beyond regular coursework"".
The examination requirement and dissertation/final defense clearly fall into this category.

Let's formulate the answer concisely.
The information states ""examination requirement (in the form of an exam or paper)"" and ""completing dissertation chapters, and having your final defense"".

So, the non-coursework requirements are an examination/paper and a dissertation defense.
""Comprehensive exam and research dissertation required."" seems appropriate.
It's stated that the exam is ""in the form of an exam or paper"", so ""comprehensive exam or paper"" could be more accurate, but ""comprehensive exam"" usually encompasses such assessments. Given the requested conciseness, ""comprehensive exam"" is probably fine, as it's testing knowledge.

Let's go with: ""Comprehensive exam or paper and research dissertation required.""

Checking the instructions:
- Summarize in one concise sentence.
- If multiple options, describe briefly (e.g., ""Capstone or thesis option""). Here, it's exam or paper, and then dissertation.
- No quotes, no explanations.

The phrasing ""examination requirement (in the form of an exam or paper)"" suggests it's an either/or for that specific requirement.
The dissertation is clearly stated.

So, the two distinct non-coursework requirements are:
1. An examination/paper at the end of year two.
2. A dissertation defense in the final year.

Therefore, ""Comprehensive exam or paper and research dissertation required."" fits the criteria.","Comprehensive examination, research thesis, and dissertation defense are required.",Comprehensive examination and research dissertation with proposal and final defense required.
43," 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
44," 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement
45,"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,A project and design course and entrepreneurship/leadership/communication/project management courses are required.,SUCCESS,A project and design course and entrepreneurship/leadership/communication/project management courses are required.,A project and design course and entrepreneurship/leadership/communication/project management courses are required.,At least 4 credits in project and design courses are required.,A project and design course is required.
46,"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,API_ERROR: Error: Server disconnected without sending a response.,API_ERROR,Error: Server disconnected without sending a response.,The,The,Research thesis required.
47,"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement,No additional graduation requirement.
48,"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,API_ERROR: Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),API_ERROR,Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),No additional graduation requirement.,No additional graduation requirement.,
49,"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,The,No additional graduation requirement
50,"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,API_ERROR: Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),API_ERROR,Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),No additional graduation requirement,No additional graduation requirement.,No additional graduation requirement.
51,"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,"A pre-candidacy research project, field preliminary examination, teaching requirement, and a dissertation with a proposal defense and successful final defense are required.",SUCCESS,"A pre-candidacy research project, field preliminary examination, teaching requirement, and a dissertation with a proposal defense and successful final defense are required.","A pre-candidacy research project, field preliminary examination, teaching requirement, dissertation proposal defense, and dissertation approval and defense are required.",A preliminary examination and a dissertation are required.,"A pre-candidacy research project, a field preliminary examination, a teaching requirement, and a dissertation with a proposal defense and successful final defense are required."
52,"University of Michigan, Ann Arbor",MS,Information,信息学院,A capstone project or master's thesis is required.,SUCCESS,A capstone project or master's thesis is required.,A capstone project or master's thesis is required.,Capstone project or master's thesis required.,A capstone project or a research thesis is required.
53,"University of Michigan, Ann Arbor",MS,Data Science ,文化、科学与艺术学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
54,"University of North Carolina, Chapel Hill",MS,"MS program in Statistics, Analytics and Data Science (STANDS)",文理学院,Master's project or team-based capstone required.,SUCCESS,Master's project or team-based capstone required.,Master's project or team-based capstone required.,Master's project or team-based capstone required.,A master's project is required.
55,Georgetown University,M.S.,Master of Science in Data Science and Analytics,文理研究生院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
56,Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
57,Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,No additional graduation requirement,SUCCESS,No additional graduation requirement,No additional graduation requirement.,No additional graduation requirement.,
58,Emory University,MS,Quantitative Theory and Methods,研究生院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=320, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=320)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2367, traffic_type=None) automatic_function_calling_history=[] parsed=None",Project-based course and capstone course required.,A Capstone Research Project is required.,Not found
59,University of Virginia,PHD,Data Analytics and Decision Science,达顿商学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,The,Not found,Not found
60,University of Virginia,MSDS,Data Science,数据科学学院,Capstone project required.,SUCCESS,Capstone project required.,"The browsed pages mention ""Capstone Projects"" multiple times under ""Academics"" for the MSDS Residential program. Specifically, the program URL states, ""Students in the M.S. in Data Science (MSDS) program are taught by world-class faculty with industry experience, collaborate on team capstone projects sponsored by corporate and government partners..."". This indicates that a capstone project is a required non-coursework component.

Capstone project required.",Capstone project required.,Capstone project required.
61,University of Virginia,PHD,Data Science,数据科学学院,Research thesis and defense required.,SUCCESS,Research thesis and defense required.,"A qualifying exam and a dissertation, including a proposal and defense, are required.","The browse results from the Admissions and Program URLs do not explicitly list non-coursework graduation requirements like a comprehensive exam, capstone project, or internship hours. However, the ""Doctor of Philosophy in Data Science"" page states, ""Graduates of the Ph.D. in Data Science will have contributed novel methodological research to the field of data science, demonstrated their work has impactful interdisciplinary applications and defended their methods in an open forum."" This strongly suggests a research thesis/dissertation requirement with a defense. It also mentions doctoral students ""pursue advanced research"" and ""apprentice with faculty.""

To confirm, I will perform a targeted search as per the instructions, specifically looking for ""graduation requirement,"" ""capstone,"" ""thesis,"" ""practicum,"" or ""exam"" on the UVA .edu domain.",Research thesis and defense required.
62,Carnegie Mellon University,MITS,Master of Information Technology Strategy (MITS),人文与社会科学学院,Capstone project required; internship required for Applied Study track.,SUCCESS,Capstone project required; internship required for Applied Study track.,Capstone project required; an internship is also required for the Applied Study track.,"Capstone project required, with an internship required for the Applied Study track.",Capstone project required; internship required for Applied Study track.
63,Carnegie Mellon University,MADS,Master of Science in Applied Data Science (MADS),人文与社会科学学院,A final client report and presentation are required.,SUCCESS,A final client report and presentation are required.,No additional graduation requirement.,A final client report and presentation are required.,A final client report and presentation are required in place of a thesis or qualifying exam.
64,Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,Internship required for 16-month tracks.,SUCCESS,Internship required for 16-month tracks.,A required internship and a Data Analytics Capstone Project are graduation requirements.,Internship required for 16-month tracks.,Internship required for 16-month tracks.
65,Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,Internship required for 16-month tracks; no internship for 12-month tracks.,SUCCESS,Internship required for 16-month tracks; no internship for 12-month tracks.,"The first URL is about admissions and prerequisites, not graduation requirements. The second URL provides ""Key Program and Track Information"" and states: ""Internship: Required for 16-month tracks; no internship for 12-month tracks"". This is a non-coursework graduation requirement.

Therefore, for the 16-month track, an internship is required. The prompt asks for *all* graduation requirements that go beyond regular coursework. It doesn't specify if I should mention specific tracks if the requirements differ. Given the specific pathway in the original request ""BUSINESS INTELLIGENCE & DATA ANALYTICS"", which has both 12-month and 16-month options, it's important to reflect this distinction.

The prompt asks for ""one concise sentence—no quotes, no explanations. If multiple options exist, describe them briefly (e.g., “Capstone or thesis option”).""

So, the requirement for the MISM Business Intelligence & Data Analytics program regarding non-coursework items is an internship for the 16-month track, while the 12-month track has no internship requirement.

I will phrase the answer to reflect this.Internship required for 16-month tracks; no internship for 12-month tracks.","The first URL is about admissions and application requirements, not graduation requirements.
The second URL, ""Master of Information Systems Management | Business is the Engine ..."", provides ""Key Program and Track Information"". It states: ""Internship: Required for 16-month tracks; no internship for 12-month tracks"".

This directly answers the question about non-coursework graduation requirements.
The program has two tracks, 16-month and 12-month. The internship is required for the 16-month track, but not for the 12-month track.

The request asks for ""all graduation requirements that go beyond regular coursework"".
The program URL specifies: ""Internship: Required for 16-month tracks; no internship for 12-month tracks"".

Since the question is about the MISM (BUSINESS INTELLIGENCE & DATA ANALYTICS) program, and it has both 16-month and 12-month options, the answer needs to reflect that.
The internship is a non-coursework requirement.
I don't see any mention of a capstone, thesis, comprehensive exam, practicum hours, fieldwork, research-lab hours, professional portfolio, or residency/clinical experience in the browsed pages.

Therefore, the only identified non-coursework requirement is the internship for specific tracks.
I need to summarize it in one concise sentence.
""Internship required for 16-month tracks."" is a good candidate.
The prompt asks for requirements for the ""graduate program below,"" which is ""MISM Information Systems Management (BUSINESS INTELLIGENCE & DATA ANALYTICS)"".
The provided URL states ""Business Intelligence and Data Analytics"" as one of the tracks.

So, the internship requirement applies to the MISM program, specifically the 16-month tracks (including BIDA 16-month track).
It is important to be precise about which tracks it applies to.",An internship and a Data Analytics Capstone Project are required.
66,Carnegie Mellon University,MS,MS in DATA ANALYTICS FOR SCIENCE,科学学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
